launch_id,mission_name,location_id,vehicle_id,launch_date_actual,launch_date_planned,launch_time_utc,payload_mass_kg,payload_type,customer,orbit_type,launch_success,landing_attempted,landing_success,booster_reused,fairings_recovered,mission_duration_days,launch_delay_days,cost_million,crew_count,rapid_reusability_score,improvement_opportunity_flag
65,Merah Putih,1,5,20180807,20180728,05:18:00,5800,Satellite,Telkom,GTO,True,True,True,True,False,0,10,67,0,45,0
66,Telstar 18V,1,5,20180910,20180902,04:45:00,7060,Satellite,Telesat,GTO,True,True,True,False,True,0,8,67,0,40,0
67,SAOCOM 1A,3,5,20181008,20180926,02:22:00,3000,Satellite,CONAE,SSO,True,True,True,True,True,0,12,67,0,50,0
68,Es'hail 2,2,5,20181115,20180928,20:46:00,3000,Satellite,Es'hailSat,GTO,True,True,True,True,True,0,48,67,0,50,0
69,SSO-A,3,5,20181203,20181123,18:34:00,4000,SmallSat,Spaceflight,SSO,True,True,True,True,True,0,10,67,0,50,0
70,CRS-16,1,5,20181205,20181031,18:16:00,2500,Dragon 1,NASA,ISS,True,True,False,True,False,40,35,67,0,35,1
71,GPS III-01,1,5,20181223,20181129,13:51:00,4400,Satellite,USAF,MEO,True,False,False,False,True,0,24,67,0,25,0
72,Iridium NEXT 8,3,5,20190111,20181210,15:31:00,9600,Satellite,Iridium,LEO,True,True,True,True,True,0,32,67,0,50,0
73,PSN-6/Beresheet,1,5,20190222,20190103,01:45:00,6500,Satellite,PSN/SpaceIL,GTO,True,True,True,True,True,0,50,67,0,50,0
74,Crew Dragon Demo-1,2,5,20190302,20190121,07:49:00,11000,Dragon 2,NASA,ISS,True,False,False,False,True,6,40,67,0,25,0
75,Arabsat-6A,2,7,20190411,20181229,22:35:00,6465,Satellite,Arabsat,GTO,True,True,True,True,True,0,103,90,0,50,0
76,CRS-17,1,5,20190504,20190323,06:48:00,2482,Dragon 1,NASA,ISS,True,True,True,True,False,31,42,67,0,45,0
77,Starlink v0.9,1,5,20190524,20190504,02:30:00,13620,Satellite,SpaceX,LEO,True,True,True,True,True,0,20,67,0,50,0
78,RADARSAT Constellation,3,5,20190612,20190506,14:17:00,4200,Satellite,CSA,SSO,True,True,True,True,True,0,37,67,0,50,0
79,CRS-18,1,5,20190725,20190704,22:01:00,2268,Dragon 1,NASA,ISS,True,True,True,True,True,42,21,67,0,50,0
80,AMOS-17,1,5,20190806,20190723,23:23:00,6500,Satellite,Spacecom,GTO,True,False,False,True,True,0,14,67,0,35,0
81,Starlink v1.0 L1,1,5,20191111,20191022,14:56:00,15600,Satellite,SpaceX,LEO,True,True,True,True,True,0,20,67,0,50,0
82,CRS-19,1,5,20191205,20191106,17:29:00,2617,Dragon 2,NASA,ISS,True,True,True,True,False,28,29,67,0,45,0
83,JCSat-18/Kacific-1,1,5,20191217,20191101,00:10:00,6956,Satellite,JSAT/Kacific,GTO,True,True,True,True,True,0,46,67,0,50,0
84,Starlink Group 1-14,2,5,20200104,20191107,12:10:00,15600,Satellite,SpaceX,LEO,True,True,False,False,False,0,58,67,0,40,1
85,Starlink v1.0 L2,1,5,20200107,20200102,02:19:00,15600,Satellite,SpaceX,LEO,True,True,True,True,True,0,5,67,0,50,0
86,Starlink Group 1-15,1,5,20200115,20200106,09:55:00,15600,Satellite,SpaceX,LEO,True,True,False,False,False,0,9,67,0,35,1
87,Crew Dragon IFA,2,5,20200119,20200107,15:30:00,12050,Dragon 2,NASA,SUB,True,False,False,True,False,0,12,67,0,30,0
88,Starlink v1.0 L3,1,5,20200129,20200116,14:07:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,13,67,0,45,0
89,Starlink Group 1-16,3,5,20200129,20200115,11:28:00,15600,Satellite,SpaceX,LEO,True,True,False,False,False,0,14,67,0,30,1
90,Starlink Group 1-17,3,5,20200206,20200128,21:54:00,15600,Satellite,SpaceX,LEO,True,True,False,True,False,0,9,67,0,40,1
91,Starlink v1.0 L4,1,5,20200217,20191222,15:05:00,15600,Satellite,SpaceX,LEO,True,True,False,True,True,0,57,67,0,40,1
92,Starlink Group 1-18,3,5,20200217,20200206,21:03:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,11,67,0,30,0
93,CRS-20,1,5,20200307,20200213,04:50:00,1977,Dragon 1,NASA,ISS,True,True,True,True,True,29,23,67,0,50,0
94,Starlink Group 1-19,1,5,20200311,20200123,12:58:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,48,67,0,30,0
95,Starlink v1.0 L5,2,5,20200318,20200229,12:16:00,15600,Satellite,SpaceX,LEO,True,True,False,True,True,0,18,67,0,40,1
96,Starlink Group 1-20,2,5,20200318,20200124,01:49:00,15600,Satellite,SpaceX,LEO,True,True,False,False,False,0,54,67,0,30,1
97,Starlink Group 1-21,3,5,20200414,20200323,09:20:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,22,67,0,40,0
98,Starlink v1.0 L6,2,5,20200422,20200420,19:30:00,15600,Satellite,SpaceX,LEO,True,True,True,True,True,0,2,67,0,50,0
99,Starlink Group 1-22,2,5,20200422,20200415,04:13:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,7,67,0,35,0
100,Starlink Group 1-23,1,5,20200517,20200509,22:21:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,8,67,0,35,0
101,Starlink Group 1-24,3,5,20200525,20200513,08:22:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,12,67,0,40,0
102,Crew Dragon Demo-2,2,5,20200530,20200519,19:22:00,12530,Dragon 2,NASA,ISS,True,True,True,True,False,64,11,220,2,75,0
103,Starlink v1.0 L7,1,5,20200603,20200531,01:25:00,15600,Satellite,SpaceX,LEO,True,True,True,True,True,0,3,67,0,50,0
104,Starlink Group 1-25,3,5,20200604,20200601,20:34:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,3,67,0,35,0
105,Starlink v1.0 L8,1,5,20200613,20200505,09:21:00,15410,Satellite,SpaceX,LEO,True,True,True,True,True,0,39,67,0,50,0
106,Starlink Group 1-26,3,5,20200613,20200606,13:26:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,7,67,0,35,0
107,GPS III-03,1,5,20200630,20200620,20:10:00,4311,Satellite,USAF,MEO,True,True,True,True,True,0,10,67,0,50,0
108,ANASIS-II,1,5,20200720,20200707,21:58:00,5000,Satellite,South Korea,GTO,True,True,True,True,True,0,13,67,0,50,0
109,Starlink v1.0 L9,2,5,20200807,20200731,05:12:00,14932,Satellite,SpaceX,LEO,True,True,True,True,True,0,7,67,0,50,0
110,Starlink v1.0 L10,1,5,20200818,20200805,14:31:00,15440,Satellite,SpaceX,LEO,True,True,True,True,True,0,13,67,0,50,0
111,SAOCOM 1B,1,5,20200830,20200825,23:18:00,3130,Satellite,CONAE,SSO,True,True,True,True,True,0,5,67,0,50,0
112,Starlink v1.0 L11,2,5,20200903,20200821,12:46:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,13,67,0,45,0
113,Starlink v1.0 L12,2,5,20201006,20200923,11:29:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,13,67,0,45,0
114,Starlink v1.0 L13,2,5,20201018,20201011,12:25:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,7,67,0,45,0
115,Starlink v1.0 L14,1,5,20201024,20201018,16:31:00,15600,Satellite,SpaceX,LEO,True,True,True,True,True,0,6,67,0,50,0
116,GPS III-04,1,5,20201105,20200911,23:24:00,4311,Satellite,USSF,MEO,True,True,True,True,False,0,55,67,0,45,0
117,Crew-1,2,5,20201116,20201028,00:27:00,12519,Dragon 2,NASA,ISS,True,True,True,True,False,167,19,220,4,75,0
118,Sentinel-6,3,5,20201121,20201109,17:17:00,1192,Satellite,NASA/ESA,LEO,True,True,True,True,True,0,12,67,0,50,0
119,Starlink v1.0 L15,1,5,20201125,20201114,02:13:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,11,67,0,45,0
120,CRS-21,2,5,20201206,20201102,16:17:00,2972,Dragon 2,NASA,ISS,True,True,True,True,False,36,34,67,0,45,0
121,SXM-7,1,5,20201213,20201212,17:09:00,7000,Satellite,Sirius XM,GTO,True,True,True,True,False,0,1,67,0,45,0
122,NROL-108,2,5,20201219,20201208,14:00:00,5000,Classified,NRO,LEO,True,True,True,True,False,0,11,67,0,45,0
123,Turksat 5A,1,5,20210108,20210104,02:15:00,3500,Satellite,Turksat,GTO,True,True,True,True,False,0,4,67,0,45,0
124,Starlink v1.0 L16,2,5,20210120,20210117,13:02:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,3,67,0,45,0
125,Transporter-1,1,5,20210124,20210116,15:00:00,5000,SmallSat,Various,SSO,True,True,True,True,True,0,8,67,0,50,0
126,Starlink Group 2-1,1,5,20210124,20210119,00:28:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,5,67,0,35,0
127,Starlink v1.0 L17,1,5,20210204,20210125,06:19:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,10,67,0,45,0
128,Starlink Group 2-2,1,5,20210215,20210204,10:09:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,11,67,0,35,0
129,Starlink v1.0 L18,1,5,20210216,20210208,03:59:00,15600,Satellite,SpaceX,LEO,True,True,False,True,False,0,8,67,0,35,1
130,Starlink v1.0 L19,1,5,20210304,20210207,08:24:00,15600,Satellite,SpaceX,LEO,True,True,True,True,True,0,25,67,0,50,0
131,Starlink Group 2-3,2,5,20210307,20210305,11:13:00,15600,Satellite,SpaceX,LEO,True,True,False,False,False,0,2,67,0,35,1
132,Starlink v1.0 L20,1,5,20210311,20210120,08:13:00,15600,Satellite,SpaceX,LEO,True,True,True,True,True,0,50,67,0,50,0
133,Starlink v1.0 L21,1,5,20210314,20210313,10:01:00,15600,Satellite,SpaceX,LEO,True,True,True,True,True,0,1,67,0,50,0
134,Starlink v1.0 L22,2,5,20210324,20210322,08:28:00,15600,Satellite,SpaceX,LEO,True,True,True,True,True,0,2,67,0,50,0
135,Starlink Group 2-4,3,5,20210324,20210318,12:34:00,15600,Satellite,SpaceX,LEO,True,True,False,False,False,0,6,67,0,45,1
136,Starlink v1.0 L23,1,5,20210407,20210406,16:34:00,15600,Satellite,SpaceX,LEO,True,True,True,True,True,0,1,67,0,50,0
137,Crew-2,2,5,20210423,20210421,09:49:00,12519,Dragon 2,NASA,ISS,True,True,True,True,False,199,2,220,4,75,0
138,Starlink Group 2-5,1,5,20210428,20210418,20:50:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,10,67,0,45,0
139,Starlink v1.0 L24,1,5,20210429,20210315,03:44:00,15600,Satellite,SpaceX,LEO,True,True,True,True,True,0,45,67,0,50,0
140,Starlink v1.0 L25,2,5,20210504,20210427,19:01:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,7,67,0,45,0
141,Starlink v1.0 L26,1,5,20210509,20210409,06:42:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,30,67,0,45,0
142,Starlink v1.0 L27,2,5,20210515,20210408,22:56:00,15600,Satellite,SpaceX,LEO,True,True,True,True,True,0,37,67,0,50,0
143,Starlink v1.0 L28,1,5,20210526,20210524,18:59:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,2,67,0,45,0
144,CRS-22,2,5,20210603,20210522,17:29:00,3328,Dragon 2,NASA,ISS,True,True,True,True,False,40,12,67,0,45,0
145,SXM-8,1,5,20210606,20210605,04:26:00,7000,Satellite,Sirius XM,GTO,True,True,True,True,False,0,1,67,0,45,0
146,Starlink Group 2-6,1,5,20210615,20210604,14:58:00,15600,Satellite,SpaceX,LEO,True,True,False,False,False,0,11,67,0,35,1
147,GPS III-05,1,5,20210617,20210604,16:09:00,4311,Satellite,USSF,MEO,True,True,True,True,False,0,13,67,0,45,0
148,Starlink Group 2-7,1,5,20210626,20210508,04:07:00,15600,Satellite,SpaceX,LEO,True,True,False,False,False,0,49,67,0,40,1
149,Transporter-2,1,5,20210630,20210627,19:31:00,2800,SmallSat,Various,SSO,True,True,True,True,True,0,3,67,0,50,0
150,Starlink Group 2-8,1,5,20210714,20210611,00:44:00,15600,Satellite,SpaceX,LEO,True,True,False,True,False,0,33,67,0,40,1
151,Starlink Group 2-9,1,5,20210730,20210726,03:05:00,15600,Satellite,SpaceX,LEO,True,True,False,False,False,0,4,67,0,45,1
152,Starlink Group 2-10,1,5,20210814,20210622,06:28:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,53,67,0,40,0
153,CRS-23,2,5,20210829,20210805,07:37:00,2170,Dragon 2,NASA,ISS,True,True,True,True,False,37,24,67,0,45,0
154,Starlink Group 2-11,2,5,20210830,20210806,08:17:00,15600,Satellite,SpaceX,LEO,True,True,False,True,False,0,24,67,0,35,1
155,Starlink Group 2-12,1,5,20210913,20210904,06:35:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,9,67,0,40,0
156,Starlink Group 2-1,3,5,20210914,20210904,03:55:00,16000,Satellite,SpaceX,LEO,True,True,True,True,True,0,10,67,0,50,0
157,Inspiration4,2,5,20210916,20210904,00:03:00,12519,Dragon 2,Shift4,LEO,True,True,True,True,False,3,12,220,4,75,0
158,Starlink Group 2-13,1,5,20210927,20210918,14:16:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,9,67,0,45,0
159,Starlink Group 2-14,1,5,20211012,20211011,07:24:00,15600,Satellite,SpaceX,LEO,True,True,False,False,False,0,1,67,0,40,1
160,Starlink Group 2-15,3,5,20211027,20211015,12:52:00,15600,Satellite,SpaceX,LEO,True,True,False,True,False,0,12,67,0,40,1
161,Crew-3,2,5,20211111,20211031,02:03:00,12519,Dragon 2,NASA,ISS,True,True,True,True,False,176,11,220,4,75,0
162,Starlink Group 2-2,3,5,20211113,20211104,11:51:00,16000,Satellite,SpaceX,LEO,True,True,True,True,True,0,9,67,0,50,0
163,Starlink Group 2-16,3,5,20211113,20211110,08:28:00,15600,Satellite,SpaceX,LEO,True,True,False,False,False,0,3,67,0,35,1
164,Starlink Group 2-17,2,5,20211127,20211012,22:53:00,15600,Satellite,SpaceX,LEO,True,True,False,True,False,0,46,67,0,40,1
165,Starlink Group 4-1,2,5,20211202,20211121,23:12:00,16000,Satellite,SpaceX,LEO,True,True,True,True,False,0,11,67,0,45,0
166,Starlink Group 2-18,3,5,20211204,20211016,23:30:00,15600,Satellite,SpaceX,LEO,True,True,True,True,False,0,49,67,0,45,0
167,IXPE,2,5,20211209,20211106,06:00:00,330,Satellite,NASA,LEO,True,True,True,True,False,0,33,67,0,45,0
168,Starlink Group 4-3,2,5,20211218,20211209,12:41:00,16000,Satellite,SpaceX,LEO,True,True,True,True,True,0,9,67,0,50,0
169,Starlink Group 2-19,2,5,20211218,20211205,01:36:00,15600,Satellite,SpaceX,LEO,True,True,False,False,False,0,13,67,0,45,1
170,Turksat 5B,1,5,20211219,20211217,03:58:00,4500,Satellite,Turksat,GTO,True,True,True,True,False,0,2,67,0,45,0
171,CRS-24,2,5,20211221,20211213,10:07:00,2989,Dragon 2,NASA,ISS,True,True,True,True,False,34,8,67,0,45,0
172,Starlink Group 4-4,2,5,20220106,20211224,21:49:00,16000,Satellite,SpaceX,LEO,True,True,True,True,False,0,13,67,0,45,0
173,Transporter-3,1,5,20220113,20220112,15:25:00,3500,SmallSat,Various,SSO,True,True,True,True,True,0,1,67,0,50,0
174,Starlink Group 4-5,2,5,20220118,20220113,02:26:00,16000,Satellite,SpaceX,LEO,True,True,True,True,False,0,5,67,0,45,0
175,Starlink Group 4-35,2,5,20220119,20220111,05:29:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,8,67,0,45,0
176,CSG-2,1,5,20220131,20220124,23:11:00,2150,Satellite,Italy,SSO,True,True,True,True,False,0,7,67,0,45,0
177,Starlink Group 4-36,3,5,20220131,20211216,05:00:00,15600,Satellite,SpaceX,LEO,True,True,False,True,False,0,46,67,0,45,1
178,Starlink Group 4-6,2,5,20220203,20220123,18:13:00,16000,Satellite,SpaceX,LEO,False,True,False,True,False,0,11,67,0,0,1
179,Starlink Group 4-37,2,5,20220208,20220201,15:29:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,7,67,0,40,0
180,Starlink Group 4-7,2,5,20220221,20220215,14:44:00,16000,Satellite,SpaceX,LEO,True,True,True,True,False,0,6,67,0,45,0
181,Starlink Group 4-8,1,5,20220225,20220204,17:12:00,16000,Satellite,SpaceX,LEO,True,True,True,True,True,0,21,67,0,50,0
182,Starlink Group 4-38,1,5,20220225,20220223,04:09:00,15600,Satellite,SpaceX,LEO,True,True,False,True,False,0,2,67,0,45,1
183,Starlink Group 4-9,1,5,20220303,20220302,14:35:00,16000,Satellite,SpaceX,LEO,True,True,True,True,False,0,1,67,0,45,0
184,Starlink Group 4-39,2,5,20220308,20220307,16:08:00,15600,Satellite,SpaceX,LEO,True,True,False,True,False,0,1,67,0,40,1
185,Starlink Group 4-10,2,5,20220309,20220224,13:45:00,16000,Satellite,SpaceX,LEO,True,True,True,True,True,0,13,67,0,50,0
186,Starlink Group 4-40,1,5,20220318,20220314,16:29:00,15600,Satellite,SpaceX,LEO,True,True,False,True,True,0,4,67,0,40,1
187,Starlink Group 4-11,1,5,20220319,20220318,04:42:00,16000,Satellite,SpaceX,LEO,True,True,True,True,False,0,1,67,0,45,0
188,Transporter-4,1,5,20220401,20220320,16:24:00,3800,SmallSat,Various,SSO,True,True,True,True,True,0,12,67,0,50,0
189,Axiom-1,2,5,20220408,20220225,15:17:00,12519,Dragon 2,Axiom,ISS,True,True,True,True,False,17,42,220,4,75,0
190,Starlink Group 4-41,3,5,20220413,20220407,10:54:00,15600,Satellite,SpaceX,LEO,True,True,False,True,True,0,6,67,0,40,1
191,NROL-85,3,5,20220417,20220408,13:13:00,5000,Classified,NRO,LEO,True,True,True,True,False,0,9,67,0,45,0
192,Starlink Group 4-12,1,5,20220421,20220310,15:51:00,16000,Satellite,SpaceX,LEO,True,True,True,True,False,0,42,67,0,45,0
193,Crew-4,2,5,20220427,20220422,07:52:00,12519,Dragon 2,NASA,ISS,True,True,True,True,False,170,5,220,4,75,0
194,Starlink Group 4-42,3,5,20220427,20220415,13:07:00,15600,Satellite,SpaceX,LEO,True,True,True,False,False,0,12,67,0,45,0
195,Starlink Group 4-13,1,5,20220429,20220326,21:27:00,16000,Satellite,SpaceX,LEO,True,True,True,True,True,0,34,67,0,50,0
196,Starlink Group 4-43,1,5,20220504,20220503,16:46:00,15600,Satellite,SpaceX,LEO,True,True,False,True,True,0,1,67,0,40,1
197,Starlink Group 4-14,2,5,20220506,20220504,09:42:00,16000,Satellite,SpaceX,LEO,True,True,True,True,False,0,2,67,0,45,0
